image_stem,gt_path,pred_path,valid_pixels,correct_pixels,pixel_accuracy,mIoU
1590192591009630976,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192591009630976_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192591009630976_mask_id.png,327680,312474,0.953594970703125,0.762768082733879
1590192591109476864,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192591109476864_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192591109476864_mask_id.png,327680,315789,0.9637115478515625,0.6756587944616798
1590192591309962752,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192591309962752_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192591309962752_mask_id.png,327680,301079,0.9188201904296875,0.6914057601219006
1590192591409800960,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192591409800960_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192591409800960_mask_id.png,327680,317239,0.9681365966796875,0.7325971625840543
1590192591709282048,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192591709282048_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192591709282048_mask_id.png,327680,309469,0.9444244384765625,0.7254378158767711
1590192591809910784,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192591809910784_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192591809910784_mask_id.png,327680,316761,0.9666778564453125,0.6146351985336989
1590192591909742848,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192591909742848_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192591909742848_mask_id.png,327680,313962,0.958135986328125,0.5921644371807318
1590192592009586944,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192592009586944_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192592009586944_mask_id.png,327680,312072,0.9523681640625,0.6596294300258033
1590192592109418752,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192592109418752_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192592109418752_mask_id.png,327680,293981,0.8971588134765625,0.7474851744966815
1590192592209662976,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192592209662976_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192592209662976_mask_id.png,327680,294743,0.8994842529296875,0.6003135829726644
1590192592309503744,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192592309503744_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192592309503744_mask_id.png,327680,297402,0.907598876953125,0.554562975094187
1590192592409347840,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192592409347840_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192592409347840_mask_id.png,327680,307245,0.9376373291015625,0.5453844429899561
1590192592509982976,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192592509982976_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192592509982976_mask_id.png,327680,316370,0.965484619140625,0.7080353575239444
1590192592609817856,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192592609817856_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192592609817856_mask_id.png,327680,307999,0.9399383544921875,0.8087549828061377
1590192592909324800,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192592909324800_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192592909324800_mask_id.png,327680,314681,0.9603302001953125,0.7393459084605556
1590192593209630976,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192593209630976_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192593209630976_mask_id.png,327680,315647,0.9632781982421875,0.6593465781222065
